ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
2014,D52,Crimes Against Property,Theft Over $5000,91,28
2014,D52,Crimes Against Property,Theft Under $5000,5483,2207
2014,D52,Crimes Against the Person,Assault,1127,818
2014,D52,Crimes Against the Person,Attempt Murder,2,2
2014,D52,Crimes Against the Person,Other,343,215
2014,D52,Crimes Against the Person,Robbery-Financial,4,4
2014,D52,Crimes Against the Person,Robbery-Other,164,62
2014,D52,Crimes Against the Person,Sexual Violation,138,81
2014,D52,Criminal Code Traffic ,Other,84,84
2014,D52,Other Criminal Code Violations,Other,1791,1729
2014,D52,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,58,56
2014,D52,Other Federal Statute Violations,Other,27,25
2014,D53,Controlled Drugs and Substances Act,Other,107,101
2014,D54/D55,Crimes Against Property,Auto Theft,168,41
2014,D53,Crimes Against Property,Auto Theft,104,40
2014,D53,Crimes Against Property,Break & Enter-Apartment,98,30
2014,D53,Crimes Against Property,Break & Enter-Commercial,155,55
2014,D53,Crimes Against Property,Break & Enter-House,306,69
2014,D53,Crimes Against Property,Break & Enter-Other,34,13
2014,D53,Crimes Against Property,Fraud,431,214
2014,D53,Crimes Against Property,Other,563,226
2014,D53,Crimes Against Property,Theft Over $5000,74,20
2014,D53,Crimes Against Property,Theft Under $5000,2384,933
2014,D53,Crimes Against the Person,Assault,573,448
2014,D53,Crimes Against the Person,Attempt Murder,2,1
2014,D53,Crimes Against the Person,Other,231,141
2014,D53,Crimes Against the Person,Robbery-Financial,1,1
2014,D53,Crimes Against the Person,Robbery-Other,81,35
2014,D53,Crimes Against the Person,Sexual Violation,85,46
2014,D53,Criminal Code Traffic ,Other,71,68
2014,D53,Other Criminal Code Violations,Other,316,287
2014,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,35,33
2014,D53,Other Federal Statute Violations,Other,19,19
2014,D54/D55,Controlled Drugs and Substances Act,Other,518,502
2014,D32,Crimes Against the Person,Attempt Murder,9,4
2014,D32,Crimes Against the Person,Robbery-Financial,7,5
2014,D32,Crimes Against the Person,Robbery-Other,162,52
2014,D32,Crimes Against the Person,Sexual Violation,158,83
2014,D32,Criminal Code Traffic ,Other,113,112
2014,D32,Other Criminal Code Violations,Other,547,503
2014,D32,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,61,55
2014,D32,Other Federal Statute Violations,Other,31,30
2014,D33,Controlled Drugs and Substances Act,Other,113,102
2014,D33,Crimes Against Property,Auto Theft,208,20
2014,D33,Crimes Against Property,Break & Enter-Apartment,177,32
2014,D33,Crimes Against Property,Break & Enter-Commercial,70,19
2014,D33,Crimes Against Property,Break & Enter-House,180,20
2014,D33,Crimes Against Property,Break & Enter-Other,15,1
2014,D33,Crimes Against Property,Fraud,382,163
2014,D33,Crimes Against Property,Other,505,176
2014,D33,Crimes Against Property,Theft Over $5000,62,16
2014,D33,Crimes Against Property,Theft Under $5000,1818,752
2014,D33,Crimes Against the Person,Assault,657,471
2014,D33,Crimes Against the Person,Attempt Murder,3,0
2014,D33,Crimes Against the Person,Other,212,140
2014,D33,Crimes Against the Person,Robbery-Financial,7,5
2014,D33,Crimes Against the Person,Robbery-Other,107,28
2014,D33,Crimes Against the Person,Sexual Violation,82,57
2014,D33,Criminal Code Traffic ,Other,88,85
2014,D33,Other Criminal Code Violations,Other,308,283
2014,D33,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,47,44
2014,D33,Other Federal Statute Violations,Other,5,4
2014,D41,Controlled Drugs and Substances Act,Other,314,305
